Mark,Medal,Temp,Gender,Seconds
2:35:06,FALSE,90,M,9306
2:39:01,FALSE,90,M,9541
2:41:08,FALSE,90,M,9668
2:23:07,TRUE,72,F,8587
2:23:12,TRUE,72,F,8592
2:23:29,TRUE,72,F,8609
2:23:56,FALSE,72,F,8636
2:24:48,FALSE,72,F,8688
2:25:11,FALSE,72,F,8711
2:25:27,FALSE,72,F,8727
2:25:38,FALSE,72,F,8738
2:25:51,FALSE,72,F,8751
2:26:07,FALSE,72,F,8767
2:26:09,FALSE,72,F,8769
2:26:13,FALSE,72,F,8773
2:26:44,FALSE,72,F,8804
2:26:59,FALSE,72,F,8819
2:27:16,FALSE,72,F,8836
2:27:32,FALSE,72,F,8852
2:27:36,FALSE,72,F,8856
2:27:43,FALSE,72,F,8863
2:27:52,FALSE,72,F,8872
2:28:12,FALSE,72,F,8892
2:28:21,FALSE,72,F,8901
2:28:48,FALSE,72,F,8928
2:28:52,FALSE,72,F,8932
2:28:54,FALSE,72,F,8934
2:29:19,FALSE,72,F,8959
2:29:29,FALSE,72,F,8969
2:29:32,FALSE,72,F,8972
2:29:38,FALSE,72,F,8978
2:30:09,FALSE,72,F,9009
2:30:13,FALSE,72,F,9013
2:30:22,FALSE,72,F,9022
2:30:25,FALSE,72,F,9025
2:30:26,FALSE,72,F,9026
2:30:51,FALSE,72,F,9051
2:30:57,FALSE,72,F,9057
2:31:15,FALSE,72,F,9075
2:31:16,FALSE,72,F,9076
2:31:17,FALSE,72,F,9077
2:31:43,FALSE,72,F,9103
2:31:58,FALSE,72,F,9118
2:32:03,FALSE,72,F,9123
2:32:07,FALSE,72,F,9127
2:32:14,FALSE,72,F,9134
2:32:46,FALSE,72,F,9166
2:33:08,FALSE,72,F,9188
2:33:15,FALSE,72,F,9195
2:33:26,FALSE,72,F,9206
2:33:30,FALSE,72,F,9210
2:33:30,FALSE,72,F,9210
2:33:33,FALSE,72,F,9213
2:34:03,FALSE,72,F,9243
2:34:50,FALSE,72,F,9290
2:34:51,FALSE,72,F,9291
2:35:09,FALSE,72,F,9309
2:35:17,FALSE,72,F,9317
2:35:39,FALSE,72,F,9339
2:35:49,FALSE,72,F,9349
2:36:01,FALSE,72,F,9361
2:36:12,FALSE,72,F,9372
2:36:20,FALSE,72,F,9380
2:36:41,FALSE,72,F,9401
2:37:13,FALSE,72,F,9433
2:37:13,FALSE,72,F,9433
2:37:14,FALSE,72,F,9434
2:37:17,FALSE,72,F,9437
2:37:47,FALSE,72,F,9467
2:38:08,FALSE,72,F,9488
2:38:22,FALSE,72,F,9502
2:38:26,FALSE,72,F,9506
2:38:31,FALSE,72,F,9511
2:38:33,FALSE,72,F,9513
2:39:01,FALSE,72,F,9541
2:39:03,FALSE,72,F,9543
2:39:07,FALSE,72,F,9547
2:39:12,FALSE,72,F,9552
2:40:06,FALSE,72,F,9606
2:40:13,FALSE,72,F,9613
2:40:27,FALSE,72,F,9627
2:40:50,FALSE,72,F,9650
2:40:57,FALSE,72,F,9657
2:41:15,FALSE,72,F,9675
2:41:20,FALSE,72,F,9680
2:41:34,FALSE,72,F,9694
2:42:01,FALSE,72,F,9721
2:42:50,FALSE,72,F,9770
2:43:15,FALSE,72,F,9795
2:43:17,FALSE,72,F,9797
2:44:45,FALSE,72,F,9885
2:44:46,FALSE,72,F,9886
2:45:16,FALSE,72,F,9916
2:45:55,FALSE,72,F,9955
2:46:38,FALSE,72,F,9998
2:46:53,FALSE,72,F,10013
2:47:47,FALSE,72,F,10067
2:48:11,FALSE,72,F,10091
2:49:38,FALSE,72,F,10178
2:51:07,FALSE,72,F,10267
2:52:15,FALSE,72,F,10335
2:54:15,FALSE,72,F,10455
3:01:18,FALSE,72,F,10878
3:04:27,FALSE,72,F,11067
3:05:07,FALSE,72,F,11107
3:22:11,FALSE,72,F,12131
2:08:01,TRUE,79,M,7681
2:08:27,TRUE,79,M,7707
2:09:37,TRUE,79,M,7777
2:11:06,FALSE,79,M,7866
2:11:10,FALSE,79,M,7870
2:11:16,FALSE,79,M,7876
2:12:08,FALSE,79,M,7928
2:12:17,FALSE,79,M,7937
2:12:28,FALSE,79,M,7948
2:12:45,FALSE,79,M,7965
2:12:48,FALSE,79,M,7968
2:12:56,FALSE,79,M,7976
2:13:35,FALSE,79,M,8015
2:13:49,FALSE,79,M,8029
2:14:09,FALSE,79,M,8049
2:14:10,FALSE,79,M,8050
2:14:49,FALSE,79,M,8089
2:15:09,FALSE,79,M,8109
2:15:24,FALSE,79,M,8124
2:15:26,FALSE,79,M,8126
2:15:35,FALSE,79,M,8135
2:16:00,FALSE,79,M,8160
2:16:04,FALSE,79,M,8164
2:16:17,FALSE,79,M,8177
2:16:25,FALSE,79,M,8185
2:16:28,FALSE,79,M,8188
2:16:29,FALSE,79,M,8189
2:16:29,FALSE,79,M,8189
2:16:36,FALSE,79,M,8196
2:17:00,FALSE,79,M,8220
2:17:11,FALSE,79,M,8231
2:17:19,FALSE,79,M,8239
2:17:39,FALSE,79,M,8259
2:17:48,FALSE,79,M,8268
2:17:54,FALSE,79,M,8274
2:17:58,FALSE,79,M,8278
2:18:20,FALSE,79,M,8300
2:18:23,FALSE,79,M,8303
2:18:26,FALSE,79,M,8306
2:18:34,FALSE,79,M,8314
2:18:44,FALSE,79,M,8324
2:18:47,FALSE,79,M,8327
2:19:00,FALSE,79,M,8340
2:19:11,FALSE,79,M,8351
2:19:11,FALSE,79,M,8351
2:19:28,FALSE,79,M,8368
2:19:32,FALSE,79,M,8372
2:19:40,FALSE,79,M,8380
2:19:52,FALSE,79,M,8392
2:19:53,FALSE,79,M,8393
2:20:10,FALSE,79,M,8410
2:20:20,FALSE,79,M,8420
2:20:20,FALSE,79,M,8420
2:20:39,FALSE,79,M,8439
2:20:41,FALSE,79,M,8441
2:21:00,FALSE,79,M,8460
2:21:13,FALSE,79,M,8473
2:21:25,FALSE,79,M,8485
2:21:52,FALSE,79,M,8512
2:22:08,FALSE,79,M,8528
2:22:37,FALSE,79,M,8557
2:22:40,FALSE,79,M,8560
2:22:59,FALSE,79,M,8579
2:23:23,FALSE,79,M,8603
2:24:16,FALSE,79,M,8656
2:24:53,FALSE,79,M,8693
2:25:03,FALSE,79,M,8703
2:25:17,FALSE,79,M,8717
2:26:25,FALSE,79,M,8785
2:26:37,FALSE,79,M,8797
2:26:43,FALSE,79,M,8803
2:27:48,FALSE,79,M,8868
2:28:20,FALSE,79,M,8900
2:28:34,FALSE,79,M,8914
2:28:54,FALSE,79,M,8934
2:29:38,FALSE,79,M,8978
2:29:58,FALSE,79,M,8998
2:30:06,FALSE,79,M,9006
2:30:19,FALSE,79,M,9019
2:33:17,FALSE,79,M,9197
2:34:59,FALSE,79,M,9299
2:38:45,FALSE,79,M,9525
2:40:13,FALSE,79,M,9613
2:45:09,FALSE,79,M,9909
2:55:54,FALSE,79,M,10554
2:24:04,TRUE,79,F,8644
2:24:13,TRUE,79,F,8653
2:24:30,TRUE,79,F,8670
2:24:47,FALSE,79,F,8687
2:24:48,FALSE,79,F,8688
2:25:26,FALSE,79,F,8726
2:26:08,FALSE,79,F,8768
2:27:36,FALSE,79,F,8856
2:28:25,FALSE,79,F,8905
2:28:36,FALSE,79,F,8916
